Delhi,Timestamp
2531.97,2021-02-01 16:15:00
2723.09,2021-02-01 16:30:00
3114.5,2021-02-01 16:45:00
3660.83,2021-02-01 17:00:00
3912.43,2021-02-01 17:15:00
4305.57,2021-02-01 17:30:00
4511.9,2021-02-01 17:45:00
4877.45,2021-02-01 18:00:00
4759.53,2021-02-01 18:15:00
5425.04,2021-02-01 18:30:00
5693.98,2021-02-01 18:45:00
5264.61,2021-02-01 19:00:00
5248.66,2021-02-01 19:15:00
5360.7,2021-02-01 19:30:00
5338.6,2021-02-01 19:45:00
4874.2,2021-02-01 20:00:00
4417.81,2021-02-01 20:15:00
4235.26,2021-02-01 20:30:00
3791.25,2021-02-01 20:45:00
3479.03,2021-02-01 21:00:00
3159.21,2021-02-01 21:15:00
2757.65,2021-02-01 21:30:00
2445.87,2021-02-01 21:45:00
2202.58,2021-02-01 22:00:00
1933.66,2021-02-01 22:15:00
1605.9,2021-02-01 22:30:00
1484.62,2021-02-01 22:45:00
1274.44,2021-02-01 23:00:00
1166.3,2021-02-01 23:15:00
1045.49,2021-02-01 23:30:00
910.61,2021-02-01 23:45:00
1233.86,2022-02-01 00:00:00
1292.12,2022-02-01 00:15:00
1280.6,2022-02-01 00:30:00
1332.72,2022-02-01 00:45:00
1399.53,2022-02-01 01:00:00
1370.03,2022-02-01 01:15:00
1417.84,2022-02-01 01:30:00
1427.35,2022-02-01 01:45:00
1446.69,2022-02-01 02:00:00
1431.45,2022-02-01 02:15:00
1530.59,2022-02-01 02:30:00
1504.46,2022-02-01 02:45:00
1475.15,2022-02-01 03:00:00
1529.58,2022-02-01 03:15:00
1489.52,2022-02-01 03:30:00
1583.4,2022-02-01 03:45:00
1571.8,2022-02-01 04:00:00
1617.75,2022-02-01 04:15:00
1632.77,2022-02-01 04:30:00
1808.66,2022-02-01 04:45:00
1841.61,2022-02-01 05:00:00
1897.96,2022-02-01 05:15:00
2164.54,2022-02-01 05:30:00
2366.24,2022-02-01 05:45:00
2611.59,2022-02-01 06:00:00
2961.65,2022-02-01 06:15:00
3136.58,2022-02-01 06:30:00
3514.51,2022-02-01 06:45:00
3885.36,2022-02-01 07:00:00
4042.91,2022-02-01 07:15:00
4505.96,2022-02-01 07:30:00
4086.29,2022-02-01 07:45:00
4508.89,2022-02-01 08:00:00
4278.22,2022-02-01 08:15:00
3876.06,2022-02-01 08:30:00
3892.14,2022-02-01 08:45:00
3665.73,2022-02-01 09:00:00
3240.05,2022-02-01 09:15:00
2889.3,2022-02-01 09:30:00
2425.64,2022-02-01 09:45:00
2080.45,2022-02-01 10:00:00
1845.31,2022-02-01 10:15:00
1534.76,2022-02-01 10:30:00
1313.91,2022-02-01 10:45:00
1120.23,2022-02-01 11:00:00
981.52,2022-02-01 11:15:00
838.15,2022-02-01 11:30:00
824.39,2022-02-01 11:45:00
733.89,2022-02-01 12:00:00
687.11,2022-02-01 12:15:00
668.71,2022-02-01 12:30:00
660.51,2022-02-01 12:45:00
691.96,2022-02-01 13:00:00
696.24,2022-02-01 13:15:00
707.48,2022-02-01 13:30:00
793.6,2022-02-01 13:45:00
794.28,2022-02-01 14:00:00
833.33,2022-02-01 14:15:00
963.69,2022-02-01 14:30:00
1024.85,2022-02-01 14:45:00
1233.51,2022-02-01 15:00:00
1379.4,2022-02-01 15:15:00
1582.4,2022-02-01 15:30:00
1912.25,2022-02-01 15:45:00
2218.22,2022-02-01 16:00:00
2339.96,2022-02-01 16:15:00
2687.8,2022-02-01 16:30:00
2927.82,2022-02-01 16:45:00
3530.1,2022-02-01 17:00:00
3661.21,2022-02-01 17:15:00
3992.66,2022-02-01 17:30:00
4343.42,2022-02-01 17:45:00
4469.63,2022-02-01 18:00:00
4872.37,2022-02-01 18:15:00
4802.02,2022-02-01 18:30:00
5224.44,2022-02-01 18:45:00
4944.69,2022-02-01 19:00:00
4946.47,2022-02-01 19:15:00
5034.6,2022-02-01 19:30:00
4669.94,2022-02-01 19:45:00
4647.73,2022-02-01 20:00:00
4343.84,2022-02-01 20:15:00
4014.67,2022-02-01 20:30:00
3405.99,2022-02-01 20:45:00
3321.02,2022-02-01 21:00:00
3025.81,2022-02-01 21:15:00
2703.83,2022-02-01 21:30:00
2256.47,2022-02-01 21:45:00
2111.65,2022-02-01 22:00:00
1766.92,2022-02-01 22:15:00
1552.41,2022-02-01 22:30:00
1302.1,2022-02-01 22:45:00
1203.86,2022-02-01 23:00:00
1086.82,2022-02-01 23:15:00
1019.53,2022-02-01 23:30:00
839.2,2022-02-01 23:45:00
1195.76,2023-02-01 00:00:00
1131.2,2023-02-01 00:15:00
1216.55,2023-02-01 00:30:00
1207.46,2023-02-01 00:45:00
1262.32,2023-02-01 01:00:00
1310.9,2023-02-01 01:15:00
1339.27,2023-02-01 01:30:00
1350.59,2023-02-01 01:45:00
1384.33,2023-02-01 02:00:00
1403.2,2023-02-01 02:15:00
1438.39,2023-02-01 02:30:00
1453.41,2023-02-01 02:45:00
1377.19,2023-02-01 03:00:00
1427.2,2023-02-01 03:15:00
1377.21,2023-02-01 03:30:00
1483.92,2023-02-01 03:45:00
1424.17,2023-02-01 04:00:00
1497.13,2023-02-01 04:15:00
1466.54,2023-02-01 04:30:00
1630.05,2023-02-01 04:45:00
1746.39,2023-02-01 05:00:00
1774.24,2023-02-01 05:15:00
1920.1,2023-02-01 05:30:00
2224.58,2023-02-01 05:45:00
2403.28,2023-02-01 06:00:00
2860.7,2023-02-01 06:15:00
2832.49,2023-02-01 06:30:00
3454.03,2023-02-01 06:45:00
3484.5,2023-02-01 07:00:00
3749.92,2023-02-01 07:15:00
3853.74,2023-02-01 07:30:00
3972.58,2023-02-01 07:45:00
4128.63,2023-02-01 08:00:00
3885.16,2023-02-01 08:15:00
3680.52,2023-02-01 08:30:00
3374.04,2023-02-01 08:45:00
3167.28,2023-02-01 09:00:00
2919.57,2023-02-01 09:15:00
2469.72,2023-02-01 09:30:00
2250.17,2023-02-01 09:45:00
1876.3,2023-02-01 10:00:00
1620.13,2023-02-01 10:15:00
1452.94,2023-02-01 10:30:00
1226.15,2023-02-01 10:45:00
1048.46,2023-02-01 11:00:00
928.26,2023-02-01 11:15:00
835.17,2023-02-01 11:30:00
708.81,2023-02-01 11:45:00
681.68,2023-02-01 12:00:00
659.74,2023-02-01 12:15:00
627.12,2023-02-01 12:30:00
655.04,2023-02-01 12:45:00
628.31,2023-02-01 13:00:00
629.57,2023-02-01 13:15:00
645.93,2023-02-01 13:30:00
711.47,2023-02-01 13:45:00
747.8,2023-02-01 14:00:00
832.31,2023-02-01 14:15:00
925.07,2023-02-01 14:30:00
1007.31,2023-02-01 14:45:00
1059.15,2023-02-01 15:00:00
1316.8,2023-02-01 15:15:00
1493.41,2023-02-01 15:30:00
1608.38,2023-02-01 15:45:00
1868.24,2023-02-01 16:00:00
2160.32,2023-02-01 16:15:00
2457.61,2023-02-01 16:30:00
2731.4,2023-02-01 16:45:00
3078.7,2023-02-01 17:00:00
3365.2,2023-02-01 17:15:00
3759.56,2023-02-01 17:30:00
4023.52,2023-02-01 17:45:00
4341.48,2023-02-01 18:00:00
4487.56,2023-02-01 18:15:00
4846.44,2023-02-01 18:30:00
4474.05,2023-02-01 18:45:00
4940.7,2023-02-01 19:00:00
4604.15,2023-02-01 19:15:00
4816.57,2023-02-01 19:30:00
4477.19,2023-02-01 19:45:00
4253.53,2023-02-01 20:00:00
3947.55,2023-02-01 20:15:00
3858.28,2023-02-01 20:30:00
3278.86,2023-02-01 20:45:00
3157.86,2023-02-01 21:00:00
2702.69,2023-02-01 21:15:00
2459.42,2023-02-01 21:30:00
2200.03,2023-02-01 21:45:00
1870.4,2023-02-01 22:00:00
1584.26,2023-02-01 22:15:00
1471.63,2023-02-01 22:30:00
1310.61,2023-02-01 22:45:00
1120.28,2023-02-01 23:00:00
980.95,2023-02-01 23:15:00
872.83,2023-02-01 23:30:00
815.09,2023-02-01 23:45:00
1204.62,2024-02-01 00:00:00
1361.47,2024-02-01 00:15:00
1309.47,2024-02-01 00:30:00
1389.42,2024-02-01 00:45:00
1348.56,2024-02-01 01:00:00
